account_id,city,state,bfpo_no,postcode,country,total_gifts_amount,last_gift_date,gifts_past_18m
001PY00000fbbU9YAI,Safety Harbor,FL,,,United States,1072.49,2024-06-30,1.0
001PY00000fbbUFYAY,New Paltz,NY,,,United States,400.0,2023-04-11,0.0
001PY00000fbbUJYAY,Armonk,NY,,,United States,11000.0,2023-11-15,0.0
001PY00000fbbUoYAI,Boston,MA,,,United States,800.0,2021-09-08,0.0
001PY00000fbbUqYAI,New York,NY,,,United States,37903.2,2025-04-30,2.0
001PY00000fbbUrYAI,Parsiappany,NY,,,United States,120000.0,2020-04-07,0.0
001PY00000fbbUuYAI,Sea Cliff,NY,,,United States,150.0,2024-04-15,1.0
001PY00000fbbUyYAI,New York,NY,,,United States,770.0,2023-01-19,0.0
001PY00000fbbUzYAI,Sacramento,CA,,,United States,90000.0,2020-07-08,0.0
001PY00000fbbV5YAI,New York,NY,,,United States,7960.96,2025-05-06,5.0
001PY00000fbbV7YAI,Richmond,VA,,,United States,40000.0,2020-06-29,0.0
001PY00000fbbV9YAI,New York,NY,,,United States,55000.0,2024-12-05,1.0
001PY00000fbbVHYAY,Kingston,NY,,,United States,550000.0,2025-07-02,2.0
001PY00000fbbVLYAY,Fishkill,NY,,,United States,9000.0,2025-02-20,2.0
001PY00000fbbVMYAY,Ossining,NY,,,United States,19012.0,2021-05-12,0.0
001PY00000fbbVNYAY,Greensboro,NC,,,United States,13000.0,2020-12-28,0.0
001PY00000fbbVPYAY,,,,,United States,750.0,2020-12-29,0.0
001PY00000fbbVVYAY,White Plains,NY,,,United States,185.0,2020-05-18,0.0
001PY00000fbbVWYAY,,,,,United States,50.0,2020-07-01,0.0
001PY00000fbbVYYAY,New York,NY,,,United States,250.0,2020-07-22,0.0
001PY00000fbbVaYAI,New York,NY,,,United States,250.0,2020-01-27,0.0
001PY00000fbbVbYAI,Shelburne,VT,,,United States,4500.0,2021-06-07,0.0
001PY00000fbbVcYAI,New York,NY,,,United States,1250.0,2020-02-04,0.0
001PY00000fbbVdYAI,Clifton Park,NY,,,United States,200.0,2020-02-11,0.0
001PY00000fbbVeYAI,Montvale,NJ,,,United States,70.0,2020-02-11,0.0
001PY00000fbbVgYAI,Cold Spring,NY,,,United States,5500.0,2025-02-25,1.0
001PY00000fbbVhYAI,Indianapolis,IN,,,United States,2500.0,2020-03-06,0.0
001PY00000fbbViYAI,New York,NY,,,United States,17070.0,2024-04-12,1.0
001PY00000fbbXFYAY,Boston,MA,,,United States,10000.0,2023-06-30,0.0
001PY00000fbbXGYAY,Staten Island,NY,,,United States,100.0,2021-12-22,0.0
001PY00000fbbXHYAY,New York,NY,,,United States,165000.0,2024-10-01,1.0
001PY00000fbbXIYAY,Seattle,WA,,,United States,2058.46,2021-02-17,0.0
001PY00000fbbXJYAY,New York,NY,,,United States,32572.55,2020-03-12,0.0
001PY00000fbbXMYAY,Harrison,NY,,,United States,420000.0,2025-05-16,3.0
001PY00000fbbXNYAY,New York,NY,,,United States,10000.0,2024-02-13,0.0
001PY00000fbbXOYAY,Wilmington,DE,,,United States,600.0,2020-09-23,0.0
001PY00000fbbXRYAY,Nutley,NJ,,,United States,90000.0,2024-11-25,1.0
001PY00000fbbXXYAY,Brooklyn,NY,,,United States,10000.0,2025-06-02,1.0
001PY00000fbbXZYAY,Binghampton,NY,,,United States,16911.8,2022-05-02,0.0
001PY00000fbbXaYAI,Poughkeepsie,NY,,,United States,18500.0,2022-12-05,0.0
001PY00000fbbXbYAI,New York,NY,,,United States,827877.44,2020-11-30,0.0
001PY00000fbbXgYAI,Innsbruck,,,,Austria,1945.93,2023-01-20,0.0
001PY00000fbbXhYAI,New York,NY,,,United States,10000.0,2023-07-10,0.0
001PY00000fbbXkYAI,La Jolla,CA,,,United States,95000.0,2025-03-13,1.0
001PY00000fbbXlYAI,Morristown,NJ,,,United States,27000.0,2025-03-26,3.0
001PY00000fbbXmYAI,Woodstock,NY,,,United States,500.0,2023-02-08,0.0
001PY00000fbbXoYAI,Millerton,NY,,,United States,185.0,2025-05-19,1.0
001PY00000fbbXpYAI,Princeton,NJ,,,United States,5227.46,2024-02-27,0.0
001PY00000fbbXuYAI,Kalamazoo,MI,,,United States,1000.0,2024-09-11,1.0
001PY00000fbbXzYAI,Hartsdale,NY,,,United States,157500.0,2024-12-09,1.0
001PY00000fbbYCYAY,New York,NY,,,United States,20000.0,2024-09-09,1.0
